WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,T_AVG,IS_RAINIY,IS_FROST
13.67,0.0,0.0029850746268656717,0.0,0.3568773234200744,0.0,0.5152542372881356,0.4437086092715231,0.29946524064171126,1.0,1.0
11.5,0.0,0.07611940298507462,0.0,0.2713754646840149,0.0,0.5322033898305085,0.5132450331125827,0.14973262032085569,1.0,0.0
11.25,0.0,0.005970149253731343,0.0,0.20817843866171007,0.0,0.4067796610169492,0.4602649006622516,0.2566844919786097,1.0,1.0
8.63,0.0,0.0029850746268656717,0.0,0.21189591078066916,0.0,0.4033898305084746,0.37086092715231783,0.26737967914438504,1.0,1.0
11.92,0.0,0.15522388059701492,0.0,0.2713754646840149,0.25,0.3389830508474576,0.22847682119205295,0.45454545454545464,1.0,1.0
10.67,0.0,0.0,0.0,0.24535315985130116,0.0,0.43050847457627117,0.41059602649006616,0.27272727272727276,0.0,1.0
9.17,0.0,0.02835820895522388,0.0,0.34572490706319703,0.25,0.30847457627118646,0.24172185430463575,0.609625668449198,1.0,1.0
14.29,0.0,0.0,0.0,0.24907063197026025,0.0,0.49491525423728816,0.47682119205298007,0.17647058823529416,0.0,0.0
8.04,0.0,0.12388059701492538,0.0,0.2565055762081785,0.0,0.4711864406779661,0.45033112582781454,0.22459893048128354,1.0,1.0
11.42,0.0,0.0,0.0,0.24535315985130116,0.0,0.4915254237288136,0.4933774834437085,0.17647058823529418,0.0,0.0
7.54,0.0,0.007462686567164179,0.0,0.37546468401487,0.25,0.2847457627118644,0.22185430463576156,0.6898395721925135,1.0,1.0
15.54,0.0,0.08955223880597014,0.0,0.4572490706319703,0.25,0.27796610169491526,0.567435314830643,0.8181818181818185,1.0,0.0
4.63,0.0,0.0,0.0,0.49070631970260226,0.0,0.576271186440678,0.586092715231788,0.3957219251336899,0.0,0.0
3.08,0.0,0.0,0.0,0.21189591078066916,0.25,0.28135593220338984,0.2748344370860927,0.4598930481283424,0.0,1.0
2.5,0.0,0.0,0.0,0.1672862453531599,0.25,0.22033898305084748,0.2019867549668874,0.4919786096256686,0.0,1.0
9.25,0.0,0.0,0.0,0.17472118959107807,0.25,0.24745762711864408,0.2019867549668874,0.4598930481283424,0.0,1.0
13.42,0.0,0.029850746268656716,0.0,0.3494423791821562,0.0,0.49830508474576274,0.3874172185430463,0.3155080213903744,1.0,1.0
17.83,0.0,0.1253731343283582,0.0,0.37918215613382905,0.0,0.535593220338983,0.6456953642384105,0.29946524064171126,1.0,0.0
3.71,0.0,0.013432835820895522,0.0,0.24907063197026025,0.0,0.4440677966101695,0.41059602649006616,0.2566844919786097,1.0,1.0
3.17,0.0,0.3208955223880597,0.0,0.3494423791821562,0.25,0.3694915254237288,0.29801324503311255,0.5187165775401071,1.0,1.0
8.04,0.0,0.0029850746268656717,0.0,0.37918215613382905,0.0,0.4440677966101695,0.49006622516556286,0.44385026737967925,1.0,0.0
9.38,0.0,0.004477611940298507,0.0,0.24535315985130116,0.0,0.576271186440678,0.519867549668874,0.04278074866310165,1.0,0.0
13.7,0.0,0.0,0.0,0.24535315985130116,0.0,0.576271186440678,0.5496688741721854,0.04278074866310165,0.0,0.0
20.38,0.0,0.1417910447761194,0.0,0.20074349442379186,0.0,0.5050847457627119,0.4933774834437085,0.09090909090909095,1.0,0.0
9.25,0.0,0.0,0.0,0.16356877323420074,0.0,0.46440677966101696,0.5132450331125827,0.10160427807486636,0.0,0.0
14.33,0.0,0.01044776119402985,0.0,0.4869888475836432,0.0,0.46440677966101696,0.42384105960264895,0.5668449197860964,1.0,1.0
16.79,0.0,0.022388059701492536,0.0,0.46096654275092946,0.0,0.5152542372881356,0.5662251655629138,0.44919786096256703,1.0,0.0
12.25,0.0,0.0417910447761194,0.0,0.4498141263940521,0.0,0.5525423728813559,0.4039735099337748,0.3743315508021391,1.0,1.0
