Lat_degrees,Long_degrees,Depth,Type,Magnituda,Is_Shallow,Mag_Level
1.23,126.1,31,origin,3.0,1,safe
-6.65,127.48,419,origin,3.9,0,dangerous
37.423,29.746,17,origin,1.6,1,safe
-4.607,-76.353,128,origin,4.9,0,dangerous
-4.527,-76.285,112,origin,5.1,0,very deangerous
-4.641,-76.449,115,origin,5.0,0,dangerous
-4.68,-76.278,109,origin,5.1,0,very deangerous
-4.64,-76.45,115,origin,5.0,0,dangerous
-4.83,-76.45,111,origin,5.3,0,very deangerous
-4.72,-76.318,110,mt,4.7,0,dangerous
-4.58,-76.47,108,origin,4.9,0,dangerous
17.967,-66.731,9,origin,3.2,1,dangerous
59.816,-152.292,81,origin,2.5,0,safe
36.296,29.234,13,origin,1.7,1,safe
41.431,21.885,15,origin,2.6,1,safe
37.748,21.391,37,origin,2.8,1,safe
-8.29,109.13,45,origin,2.5,1,safe
43.471,21.448,15,origin,2.9,1,safe
39.662,-122.889,3,origin,2.2,1,safe
39.168,28.218,7,origin,2.3,1,safe
39.153,28.194,13,origin,2.7,1,safe
-1.74,133.76,10,origin,3.4,1,dangerous
-8.36,119.83,170,origin,2.5,0,safe
38.158,-0.67,0,origin,1.7,1,safe
38.336,38.815,5,origin,1.5,1,safe
-46.352,166.713,10,origin,3.0,1,safe
38.338,38.808,9,origin,2.2,1,safe
38.346,38.813,7,origin,2.0,1,safe
38.775,42.392,12,origin,1.9,1,safe
38.861,27.975,7,origin,1.3,1,safe
39.391,38.626,7,origin,2.2,1,safe
-41.55,174.323,16,origin,3.2,1,dangerous
-30.12,-71.12,74,origin,2.6,0,safe
-6.0,103.55,60,origin,3.1,1,dangerous
39.089,28.301,7,origin,1.4,1,safe
39.127,28.305,13,origin,1.3,1,safe
19.183,-155.469,33,origin,2.1,1,safe
-35.139,178.665,213,origin,3.3,0,dangerous
34.921,28.777,7,origin,2.0,1,safe
38.174,20.516,15,origin,,1,
-4.4,133.53,112,origin,3.2,0,dangerous
37.919,42.679,7,origin,2.3,1,safe
37.905,42.662,4,origin,2.4,1,safe
38.233,38.19,7,origin,1.1,1,safe
42.265,19.575,15,origin,2.4,1,safe
36.949,1.868,32,origin,2.9,1,safe
44.18,16.92,10,origin,2.8,1,safe
43.6,17.57,35,origin,2.3,1,safe
43.357,17.662,10,origin,2.6,1,safe
43.475,17.588,2,origin,3.1,1,dangerous
43.407,17.275,10,origin,2.9,1,safe
43.331,17.346,1,origin,3.0,1,safe
43.52,16.62,5,origin,3.4,1,dangerous
39.177,28.037,7,origin,1.2,1,safe
-31.54,-70.39,99,origin,2.8,0,safe
-31.54,-70.44,105,origin,2.8,0,safe
39.218,28.038,9,origin,2.4,1,safe
39.223,28.073,7,origin,2.2,1,safe
35.91,28.25,20,origin,3.9,1,dangerous
35.828,28.559,40,origin,3.7,1,dangerous
35.769,28.55,27,origin,3.6,1,dangerous
35.805,28.591,17,origin,3.5,1,dangerous
39.171,28.165,6,origin,3.6,1,dangerous
37.268,28.301,7,origin,1.0,1,safe
61.346,-149.869,15,origin,2.0,1,safe
38.132,37.794,7,origin,1.2,1,safe
38.115,37.762,18,origin,1.3,1,safe
39.758,43.621,7,origin,1.2,1,safe
-4.83,133.8,22,origin,3.7,1,dangerous
-45.096,167.397,110,origin,3.4,0,dangerous
41.056,0.37,1,origin,1.6,1,safe
39.06,28.03,78,origin,3.5,0,dangerous
39.177,28.163,5,origin,3.5,1,dangerous
39.185,28.187,7,origin,3.4,1,dangerous
36.976,27.462,6,origin,2.0,1,safe
36.971,27.434,8,origin,1.7,1,safe
-9.74,117.32,11,origin,2.7,1,safe
4.474,97.729,10,origin,4.0,1,dangerous
4.26,97.51,10,origin,4.0,1,dangerous
1.12,121.75,12,origin,2.5,1,safe
40.55,-119.693,4,origin,2.5,1,safe
40.487,-124.253,26,origin,2.6,1,safe
34.218,-117.444,11,origin,2.0,1,safe
38.324,38.884,7,origin,0.8,1,safe
31.652,-104.141,4,origin,2.2,1,safe
36.281,-120.491,4,origin,2.0,1,safe
36.737,36.134,7,origin,1.9,1,safe
36.717,36.109,11,origin,2.0,1,safe
36.707,36.088,9,origin,2.8,1,safe
36.719,36.125,7,origin,2.8,1,safe
38.119,38.526,7,origin,0.7,1,safe
13.77,-87.88,6,origin,2.9,1,safe
13.786,-87.889,6,origin,3.0,1,safe
38.114,36.587,9,origin,1.6,1,safe
38.114,36.56,7,origin,1.5,1,safe
42.942,19.036,10,origin,1.5,1,safe
38.187,37.739,7,origin,1.0,1,safe
11.217,-85.782,152,origin,3.8,0,dangerous
11.36,-85.81,183,origin,2.8,0,safe
36.659,-5.378,0,origin,2.0,1,safe
42.942,19.057,7,origin,1.6,1,safe
38.318,38.784,12,origin,1.0,1,safe
-3.98,138.94,157,origin,3.4,0,dangerous
-3.06,121.8,5,origin,3.0,1,safe
19.251,-155.339,32,origin,2.1,1,safe
-28.03,-69.22,123,origin,2.5,0,safe
37.91,36.224,8,origin,1.5,1,safe
37.889,36.184,10,origin,1.3,1,safe
39.104,28.245,7,origin,1.3,1,safe
39.096,28.267,16,origin,1.3,1,safe
-9.1,111.47,24,origin,2.5,1,safe
38.2,142.0,40,origin,3.8,1,dangerous
-3.34,135.82,27,origin,3.1,1,dangerous
35.072,28.87,24,origin,2.2,1,safe
