Range_km,Efficiency,Weight_kg,Acceleration(0-100),Firth_stop_range_km,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price_Euro,FastCharge_time_hrs,Energy_weight_ratio,Added_Range_1Stop,Range_km_level,Price_level
610,178,2360,4.9,742,108.7,230,2000,578,114,70.9,0.47260869565217395,0.04605932203389831,132,long,expensive
490,157,1953,7.2,574,77.0,130,1600,952,100,47.97,0.5923076923076923,0.03942652329749104,84,long,affordable
585,145,2055,6.7,746,85.0,208,1500,506,92,55.728,0.40865384615384615,0.0413625304136253,161,long,affordable
360,171,1726,7.9,401,61.7,107,500,363,103,39.99,0.5766355140186916,0.035747392815758984,41,middle,cheap
445,135,1847,6.2,523,60.0,110,1000,682,89,37.97,0.5454545454545454,0.03248511099079589,78,long,cheap
495,160,1976,5.6,576,79.0,125,1600,971,103,50.97,0.632,0.039979757085020245,81,long,affordable
610,184,2405,3.9,742,112.0,250,2400,575,120,71.99,0.448,0.04656964656964657,132,long,expensive
455,171,1885,7.7,472,78.0,105,1000,485,91,41.39,0.7428571428571429,0.041379310344827586,17,long,cheap
455,165,2072,4.8,535,75.0,124,1600,971,122,52.99,0.6048387096774194,0.036196911196911194,80,long,affordable
445,169,2054,5.0,524,75.0,124,1600,971,126,55.97,0.6048387096774194,0.0365141187925998,79,long,affordable
490,145,2055,6.7,660,71.0,150,1500,506,106,52.872,0.47333333333333333,0.03454987834549878,170,long,affordable
360,197,2440,6.1,382,71.0,92,2500,500,225,77.3,0.7717391304347826,0.029098360655737704,22,middle,expensive
235,159,1365,9.0,260,37.3,65,0,185,128,34.99,0.5738461538461538,0.027326007326007325,25,short,cheap
375,160,2003,5.9,438,60.0,110,1600,971,128,45.97,0.5454545454545454,0.029955067398901646,63,middle,affordable
350,166,1811,7.3,369,58.0,75,0,385,110,39.37,0.7733333333333333,0.03202650469353948,19,middle,cheap
245,184,1645,7.9,235,45.12,51,750,400,135,31.99,0.8847058823529411,0.027428571428571427,-10,short,cheap
440,208,2510,4.5,502,91.3,165,1500,578,140,58.99,0.5533333333333333,0.03637450199203187,62,middle,affordable
550,136,1822,5.2,655,75.0,124,1000,682,86,44.99,0.6048387096774194,0.041163556531284305,105,long,cheap
580,136,1822,5.2,688,79.0,125,1000,682,83,45.97,0.632,0.0433589462129528,108,long,affordable
460,172,2108,3.8,535,79.0,125,1600,971,143,62.97,0.632,0.03747628083491461,75,long,affordable
385,168,1757,7.8,379,64.8,70,750,495,110,45.69,0.9257142857142857,0.036881047239612975,-6,middle,affordable
335,155,1504,8.0,352,52.0,75,500,326,91,32.9,0.6933333333333334,0.034574468085106384,17,short,cheap
500,188,2535,4.3,606,94.0,190,2400,698,142,71.281,0.49473684210526314,0.03708086785009862,106,long,expensive
225,160,1250,12.7,212,36.0,30,0,210,82,18.9,1.2,0.0288,-13,short,cheap
360,181,1920,8.0,403,65.0,110,750,430,93,32.4,0.5909090909090909,0.033854166666666664,43,middle,cheap
380,158,1981,7.2,440,60.0,110,1600,952,113,40.97,0.5454545454545454,0.03028773346794548,60,middle,cheap
365,178,1850,5.3,402,65.0,101,1600,325,117,44.99,0.6435643564356436,0.03513513513513514,37,middle,cheap
315,213,2145,10.6,328,67.0,75,1500,1330,133,42.29,0.8933333333333333,0.031235431235431235,13,short,cheap
430,174,2072,4.0,506,75.0,124,1600,971,146,60.97,0.6048387096774194,0.036196911196911194,76,middle,affordable
475,166,2072,4.8,556,79.0,125,1600,971,118,53.97,0.632,0.03812741312741313,81,long,affordable
450,171,2115,6.6,493,77.0,120,1000,470,96,44.18,0.6416666666666667,0.03640661938534279,43,long,cheap
450,178,2060,7.5,554,80.0,196,1600,577,110,51.65,0.40816326530612246,0.038834951456310676,104,long,affordable
450,171,1946,7.0,479,77.0,103,0,385,103,46.45,0.7475728155339806,0.039568345323741004,29,long,affordable
400,195,2069,8.4,421,78.0,115,1200,610,113,45.99,0.6782608695652174,0.037699371677138716,21,middle,affordable
500,192,2415,6.0,640,96.0,260,2000,605,116,58.95,0.36923076923076925,0.03975155279503106,140,long,affordable
455,162,1931,4.6,545,73.5,136,1000,542,124,55.48,0.5404411764705882,0.038063179699637496,90,long,affordable
365,237,2565,5.7,384,86.5,147,1800,722,212,81.5,0.5884353741496599,0.03372319688109162,19,middle,expensive
385,177,2015,7.5,448,68.0,130,1600,651,105,38.99,0.5230769230769231,0.0337468982630273,63,middle,cheap
390,168,1773,7.8,390,65.4,79,750,493,107,47.19,0.8278481012658229,0.03688663282571912,0,middle,affordable
345,165,1984,6.9,409,57.0,108,1600,971,139,45.97,0.5277777777777778,0.028729838709677418,64,middle,affordable
445,185,2260,3.8,472,82.5,100,1500,453,122,52.99,0.825,0.03650442477876106,27,long,affordable
330,183,1825,7.3,325,60.48,71,0,440,122,37.99,0.8518309859154929,0.03313972602739726,-5,short,cheap
385,192,2255,6.8,403,74.0,94,750,510,184,67.3,0.7872340425531915,0.032815964523281595,18,middle,expensive
685,172,2545,6.2,731,118.0,160,750,620,172,109.551,0.7375,0.04636542239685658,46,long,expensive
435,184,2190,6.7,559,80.0,290,1500,571,114,47.6,0.27586206896551724,0.0365296803652968,124,middle,affordable
485,155,1919,4.4,577,75.0,124,1000,649,112,53.668,0.6048387096774194,0.03908285565398645,92,long,affordable
440,136,1836,6.1,520,60.0,110,1000,682,96,40.97,0.5454545454545454,0.032679738562091505,80,middle,cheap
430,167,1940,7.3,471,72.0,110,750,416,103,45.99,0.6545454545454545,0.03711340206185567,41,middle,affordable
370,216,2495,5.1,366,80.0,99,1800,500,202,66.069,0.8080808080808081,0.03206412825651302,-4,middle,expensive
420,162,2037,7.6,486,68.0,130,1500,526,107,44.9,0.5230769230769231,0.033382425135002454,66,middle,cheap
380,158,1711,7.4,404,60.0,80,900,440,117,46.6,0.75,0.03506721215663355,24,middle,affordable
320,153,1684,5.6,382,49.0,87,1000,542,149,46.38,0.5632183908045977,0.029097387173396674,62,short,affordable
350,169,1975,8.5,405,59.0,110,1000,470,108,38.68,0.5363636363636364,0.029873417721518986,55,middle,cheap
455,169,2141,6.7,477,77.0,120,1000,585,104,48.9,0.6416666666666667,0.03596450256889304,22,long,affordable
480,181,1917,7.9,481,87.0,95,1100,545,93,47.9,0.9157894736842105,0.04538341158059468,1,long,affordable
455,165,1959,5.9,535,75.0,124,1600,971,113,49.97,0.6048387096774194,0.03828483920367534,80,long,affordable
260,168,1511,11.0,271,43.8,62,550,361,95,24.99,0.7064516129032258,0.028987425545996027,11,short,cheap
190,168,1615,9.6,178,32.0,39,0,341,172,31.9,0.8205128205128205,0.019814241486068113,-12,short,cheap
380,170,2085,5.6,402,64.7,86,1200,490,148,55.0,0.7523255813953489,0.03103117505995204,22,middle,affordable
470,160,1976,5.6,552,75.0,124,1600,971,112,50.97,0.6048387096774194,0.03795546558704453,82,long,affordable
515,157,2125,5.7,572,80.7,112,1600,470,122,59.2,0.7205357142857143,0.03797647058823529,57,long,affordable
540,178,2360,5.3,706,96.0,260,1600,521,98,53.95,0.36923076923076925,0.04067796610169491,166,long,affordable
350,146,1700,5.6,412,51.0,87,1000,649,136,45.56,0.5862068965517241,0.03,62,middle,affordable
475,164,1890,7.7,498,78.0,105,1000,435,88,43.24,0.7428571428571429,0.04126984126984127,23,long,cheap
490,153,1929,3.4,585,75.0,124,0,682,126,58.47,0.6048387096774194,0.038880248833592534,95,long,affordable
340,178,1825,7.3,348,60.48,75,750,440,121,38.99,0.8064,0.03313972602739726,8,short,cheap
445,173,2144,6.7,490,77.0,120,1000,543,108,46.335,0.6416666666666667,0.03591417910447761,45,long,affordable
315,165,1577,11.4,274,52.0,41,0,338,111,36.84,1.2682926829268293,0.032974001268230815,-41,short,cheap
460,237,2705,4.9,444,108.8,100,1500,235,149,69.615,1.088,0.04022181146025878,-16,long,expensive
465,219,2965,4.5,494,102.0,126,0,380,828,379.015,0.8095238095238095,0.034401349072512646,29,long,expensive
440,182,2160,5.2,549,80.0,205,1800,510,128,53.99,0.3902439024390244,0.037037037037037035,109,middle,affordable
420,196,2300,6.7,440,82.5,115,750,578,121,47.99,0.717391304347826,0.035869565217391305,20,middle,affordable
560,170,2265,2.4,636,95.0,140,1600,798,212,120.97,0.6785714285714286,0.04194260485651214,76,long,expensive
490,155,1919,4.4,584,76.0,135,1000,649,117,55.26,0.562962962962963,0.039603960396039604,94,long,affordable
