Name,Range_km,Efficiency,Weight_kg,Acceleration(0-100),Firth_stop_range_km,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price_Euro
BMW iX3 50 xDrive,610,178,2360,4.9,742,108.7,230,2000,578,114,70.9
Tesla Model Y Long Range RWD,490,157,1953,7.2,574,77.0,130,1600,952,100,47.97
Mercedes-Benz CLA 250+,585,145,2055,6.7,746,85.0,208,1500,506,92,55.728
MG MG4 Electric 64 kWh,360,171,1726,7.9,401,61.7,107,500,363,103,39.99
Tesla Model 3 RWD,445,135,1847,6.2,523,60.0,110,1000,682,89,37.97
Tesla Model Y Premium RWD,495,160,1976,5.6,576,79.0,125,1600,971,103,50.97
Volvo EX60 P12 AWD,610,184,2405,3.9,742,112.0,250,2400,575,120,71.99
Kia EV3 Long Range,455,171,1885,7.7,472,78.0,105,1000,485,91,41.39
Tesla Model Y Long Range AWD,455,165,2072,4.8,535,75.0,124,1600,971,122,52.99
Tesla Model Y Long Range AWD,445,169,2054,5.0,524,75.0,124,1600,971,126,55.97
Mercedes-Benz CLA 250,490,145,2055,6.7,660,71.0,150,1500,506,106,52.872
BMW iX xDrive40,360,197,2440,6.1,382,71.0,92,2500,500,225,77.3
Fiat 500e Hatchback 42 kWh,235,159,1365,9.0,260,37.3,65,0,185,128,34.99
Tesla Model Y RWD,375,160,2003,5.9,438,60.0,110,1600,971,128,45.97
CUPRA Born 150 kW - 58 kWh,350,166,1811,7.3,369,58.0,75,0,385,110,39.37
BYD ATTO 2,245,184,1645,7.9,235,45.12,51,750,400,135,31.99
BYD SEALION 7 91.3 kWh AWD Excellence,440,208,2510,4.5,502,91.3,165,1500,578,140,58.99
Tesla Model 3 Long Range RWD,550,136,1822,5.2,655,75.0,124,1000,682,86,44.99
Tesla Model 3 Premium RWD,580,136,1822,5.2,688,79.0,125,1000,682,83,45.97
Tesla Model Y Performance,460,172,2108,3.8,535,79.0,125,1600,971,143,62.97
Kia Niro EV,385,168,1757,7.8,379,64.8,70,750,495,110,45.69
Renault 5 E-Tech 52kWh 150hp,335,155,1504,8.0,352,52.0,75,500,326,91,32.9
Mercedes-Benz GLC 400 4MATIC,500,188,2535,4.3,606,94.0,190,2400,698,142,71.281
Leapmotor T03,225,160,1250,12.7,212,36.0,30,0,210,82,18.9
Leapmotor B10 67.1 kWh,360,181,1920,8.0,403,65.0,110,750,430,93,32.4
Tesla Model Y RWD,380,158,1981,7.2,440,60.0,110,1600,952,113,40.97
Volvo EX30 Single Motor ER,365,178,1850,5.3,402,65.0,101,1600,325,117,44.99
Kia PV5 Passenger 71.2 kWh,315,213,2145,10.6,328,67.0,75,1500,1330,133,42.29
Tesla Model Y Performance,430,174,2072,4.0,506,75.0,124,1600,971,146,60.97
Tesla Model Y Premium AWD,475,166,2072,4.8,556,79.0,125,1600,971,118,53.97
Skoda Elroq 85,450,171,2115,6.6,493,77.0,120,1000,470,96,44.18
Hyundai IONIQ 5 84 kWh RWD,450,178,2060,7.5,554,80.0,196,1600,577,110,51.65
CUPRA Born 170 kW - 77 kWh,450,171,1946,7.0,479,77.0,103,0,385,103,46.45
Kia EV5 81.4 kWh,400,195,2069,8.4,421,78.0,115,1200,610,113,45.99
Zeekr 7X Long Range RWD,500,192,2415,6.0,640,96.0,260,2000,605,116,58.95
Tesla Model 3 Long Range AWD,455,162,1931,4.6,545,73.5,136,1000,542,124,55.48
Audi e-tron 55 quattro,365,237,2565,5.7,384,86.5,147,1800,722,212,81.5
Changan Deepal S05 RWD,385,177,2015,7.5,448,68.0,130,1600,651,105,38.99
Hyundai Kona Electric 65 kWh,390,168,1773,7.8,390,65.4,79,750,493,107,47.19
Tesla Model Y RWD,345,165,1984,6.9,409,57.0,108,1600,971,139,45.97
BYD SEAL 82.5 kWh AWD Excellence,445,185,2260,3.8,472,82.5,100,1500,453,122,52.99
BYD ATTO 3,330,183,1825,7.3,325,60.48,71,0,440,122,37.99
BMW iX3,385,192,2255,6.8,403,74.0,94,750,510,184,67.3
Mercedes-Benz EQS 450+,685,172,2545,6.2,731,118.0,160,750,620,172,109.551
XPENG G6 RWD Long Range,435,184,2190,6.7,559,80.0,290,1500,571,114,47.6
