Name,Range_km,Efficiency,Weight,Acceleration(0-100),Firth_stop_range,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price
BMW iX3 50 xDrive,610 km,178 Wh/km,2360,4.9,742,108.7,230,2000,578,114,"€70,900"
Tesla Model Y Long Range RWD,490 km,157 Wh/km,1953,7.2,574,77,130,1600,952,100,"€47,970"
Mercedes-Benz CLA 250+,585 km,145 Wh/km,2055,6.7,746,85,208,1500,506,92,"€55,728"
MG MG4 Electric 64 kWh,360 km,171 Wh/km,1726,7.9,401,61.7,107,500,363,103,"€39,990"
Tesla Model 3 RWD,445 km,135 Wh/km,1847,6.2,523,60,110,1000,682,89,"€37,970"
Tesla Model Y Premium RWD,495 km,160 Wh/km,1976,5.6,576,79,125,1600,971,103,"€50,970"
Volvo EX60 P12 AWD,610 km,184 Wh/km,2405,3.9,742,112,250,2400,575,120,"€71,990"
Kia EV3 Long Range,455 km,171 Wh/km,1885,7.7,472,78,105,1000,485,91,"€41,390"
Tesla Model Y Long Range AWD,455 km,165 Wh/km,2072,4.8,535,75,124,1600,971,122,"€52,990"
Tesla Model Y Long Range AWD,445 km,169 Wh/km,2054,5,524,75,124,1600,971,126,"€55,970"
Mercedes-Benz CLA 250,490 km,145 Wh/km,2055,6.7,660,71,150,1500,506,106,"€52,872"
BMW iX xDrive40,360 km,197 Wh/km,2440,6.1,382,71,92,2500,500,225,"€77,300"
Fiat 500e Hatchback 42 kWh,235 km,159 Wh/km,1365,9,260,37.3,65,0,185,128,"€34,990"
Tesla Model Y RWD,375 km,160 Wh/km,2003,5.9,438,60,110,1600,971,128,"€45,970"
CUPRA Born 150 kW - 58 kWh,350 km,166 Wh/km,1811,7.3,369,58,75,0,385,110,"€39,370"
BYD ATTO 2,245 km,184 Wh/km,1645,7.9,235,45.12,51,750,400,135,"€31,990"
BYD ATTO 3 Evo RWD Design,415 km,180 Wh/km,1880,5.5,472,74.8,130,1500,591,111,N/A
BYD SEALION 7 91.3 kWh AWD Excellence,440 km,208 Wh/km,2510,4.5,502,91.3,165,1500,578,140,"€58,990"
Tesla Model 3 Long Range RWD,550 km,136 Wh/km,1822,5.2,655,75,124,1000,682,86,"€44,990"
Tesla Model 3 Premium RWD,580 km,136 Wh/km,1822,5.2,688,79,125,1000,682,83,"€45,970"
Tesla Model Y Performance,460 km,172 Wh/km,2108,3.8,535,79,125,1600,971,143,"€62,970"
Kia Niro EV,385 km,168 Wh/km,1757,7.8,379,64.8,70,750,495,110,"€45,690"
Renault 5 E-Tech 52kWh 150hp,335 km,155 Wh/km,1504,8,352,52,75,500,326,91,"€32,900"
Mercedes-Benz GLC 400 4MATIC,500 km,188 Wh/km,2535,4.3,606,94,190,2400,698,142,"€71,281"
Leapmotor T03,225 km,160 Wh/km,1250,12.7,212,36,30,0,210,82,"€18,900"
Leapmotor B10 67.1 kWh,360 km,181 Wh/km,1920,8,403,65,110,750,430,93,"€32,400"
Tesla Model Y RWD,380 km,158 Wh/km,1981,7.2,440,60,110,1600,952,113,"€40,970"
Volvo EX30 Single Motor ER,365 km,178 Wh/km,1850,5.3,402,65,101,1600,325,117,"€44,990"
Kia PV5 Passenger 71.2 kWh,315 km,213 Wh/km,2145,10.6,328,67,75,1500,1330,133,"€42,290"
Tesla Model Y Performance,430 km,174 Wh/km,2072,4,506,75,124,1600,971,146,"€60,970"
Tesla Model Y Premium AWD,475 km,166 Wh/km,2072,4.8,556,79,125,1600,971,118,"€53,970"
Skoda Elroq 85,450 km,171 Wh/km,2115,6.6,493,77,120,1000,470,96,"€44,180"
Hyundai IONIQ 5 84 kWh RWD,450 km,178 Wh/km,2060,7.5,554,80,196,1600,577,110,"€51,650"
CUPRA Born 170 kW - 77 kWh,450 km,171 Wh/km,1946,7,479,77,103,0,385,103,"€46,450"
Kia EV5 81.4 kWh,400 km,195 Wh/km,2069,8.4,421,78,115,1200,610,113,"€45,990"
Jaecoo 5 EV,325 km,181 Wh/km,1765,7.7,341,58.9,80,1250,480,96,N/A
Zeekr 7X Long Range RWD,500 km,192 Wh/km,2415,6,640,96,260,2000,605,116,"€58,950"
Tesla Model 3 Long Range AWD,455 km,162 Wh/km,1931,4.6,545,73.5,136,1000,542,124,"€55,480"
Audi e-tron 55 quattro,365 km,237 Wh/km,2565,5.7,384,86.5,147,1800,722,212,"€81,500"
Changan Deepal S05 RWD,385 km,177 Wh/km,2015,7.5,448,68,130,1600,651,105,"€38,990"
Hyundai Kona Electric 65 kWh,390 km,168 Wh/km,1773,7.8,390,65.4,79,750,493,107,"€47,190"
Tesla Model Y RWD,345 km,165 Wh/km,1984,6.9,409,57,108,1600,971,139,"€45,970"
BYD SEAL 82.5 kWh AWD Excellence,445 km,185 Wh/km,2260,3.8,472,82.5,100,1500,453,122,"€52,990"
BYD ATTO 3,330 km,183 Wh/km,1825,7.3,325,60.48,71,0,440,122,"€37,990"
BMW iX3,385 km,192 Wh/km,2255,6.8,403,74,94,750,510,184,"€67,300"
Mercedes-Benz EQS 450+,685 km,172 Wh/km,2545,6.2,731,118,160,750,620,172,"€109,551"
XPENG G6 RWD Long Range,435 km,184 Wh/km,2190,6.7,559,80,290,1500,571,114,"€47,600"
Tesla Model 3 Long Range AWD,485 km,155 Wh/km,1919,4.4,577,75,124,1000,649,112,"€53,668"
Tesla Model 3 RWD,440 km,136 Wh/km,1836,6.1,520,60,110,1000,682,96,"€40,970"
Toyota C-HR+ 77 kWh,430 km,167 Wh/km,1940,7.3,471,72,110,750,416,103,"€45,990"
Mercedes-Benz EQC 400 4MATIC,370 km,216 Wh/km,2495,5.1,366,80,99,1800,500,202,"€66,069"
Mazda 6e 68.8 kWh,420 km,162 Wh/km,2037,7.6,486,68,130,1500,526,107,"€44,900"
Renault Megane E-Tech EV60 220hp,380 km,158 Wh/km,1711,7.4,404,60,80,900,440,117,"€46,600"
Tesla Model 3 Standard Range Plus,320 km,153 Wh/km,1684,5.6,382,49,87,1000,542,149,"€46,380"
Skoda Elroq 60,350 km,169 Wh/km,1975,8.5,405,59,110,1000,470,108,"€38,680"
Skoda Enyaq 85,455 km,169 Wh/km,2141,6.7,477,77,120,1000,585,104,"€48,900"
Renault Scenic E-Tech EV87 220hp,480 km,181 Wh/km,1917,7.9,481,87,95,1100,545,93,"€47,900"
Tesla Model Y Long Range RWD,455 km,165 Wh/km,1959,5.9,535,75,124,1600,971,113,"€49,970"
Fiat Grande Panda,260 km,168 Wh/km,1511,11,271,43.8,62,550,361,95,"€24,990"
Volkswagen e-Golf,190 km,168 Wh/km,1615,9.6,178,32,39,0,341,172,"€31,900"
BMW iX1 xDrive30,380 km,170 Wh/km,2085,5.6,402,64.7,86,1200,490,148,"€55,000"
Tesla Model Y Premium RWD,470 km,160 Wh/km,1976,5.6,552,75,124,1600,971,112,"€50,970"
BMW i4 eDrive40,515 km,157 Wh/km,2125,5.7,572,80.7,112,1600,470,122,"€59,200"
Zeekr 7GT Long Range RWD,540 km,178 Wh/km,2360,5.3,706,96,260,1600,521,98,"€53,950"
Tesla Model 3 Standard Range Plus,350 km,146 Wh/km,1700,5.6,412,51,87,1000,649,136,"€45,560"
Kia EV4 Hatchback 81.4 kWh,475 km,164 Wh/km,1890,7.7,498,78,105,1000,435,88,"€43,240"
Tesla Model 3 Performance,490 km,153 Wh/km,1929,3.4,585,75,124,0,682,126,"€58,470"
BYD ATTO 3,340 km,178 Wh/km,1825,7.3,348,60.48,75,750,440,121,"€38,990"
