iter	Passed	Remaining
0	7	7333
1	12	6311
2	17	5803
3	21	5381
4	25	5026
5	29	4826
6	32	4603
7	36	4511
8	41	4518
9	44	4448
10	48	4342
11	51	4232
12	55	4238
13	61	4333
14	65	4269
15	68	4187
16	72	4176
17	75	4103
18	78	4045
19	81	3987
20	84	3939
21	88	3942
22	91	3896
23	94	3853
24	97	3817
25	101	3810
26	105	3804
27	108	3768
28	111	3734
29	114	3706
30	118	3690
31	121	3681
32	124	3657
33	127	3632
34	130	3611
35	136	3642
36	139	3642
37	143	3622
38	146	3606
39	152	3658
40	158	3709
41	165	3773
42	170	3796
43	175	3807
44	180	3837
45	184	3836
46	188	3820
47	192	3812
48	197	3826
49	200	3804
50	203	3784
51	206	3767
52	211	3770
53	214	3751
54	217	3731
55	220	3712
56	224	3717
57	229	3722
58	233	3717
59	236	3706
60	239	3688
61	243	3686
62	246	3671
63	249	3653
64	252	3636
65	255	3619
66	259	3618
67	263	3613
68	266	3599
69	269	3584
70	273	3572
71	278	3586
72	281	3573
73	284	3559
74	287	3545
75	291	3539
76	294	3532
77	298	3524
78	301	3511
79	304	3499
80	308	3497
81	312	3496
82	315	3485
83	318	3472
84	321	3463
85	326	3470
86	329	3459
87	332	3447
88	336	3442
89	340	3439
90	345	3446
91	349	3449
92	352	3438
93	357	3443
94	361	3441
95	364	3430
96	367	3419
97	370	3409
98	375	3415
99	378	3405
100	381	3395
101	384	3387
102	388	3385
103	393	3387
104	396	3378
105	399	3368
106	402	3361
107	407	3368
108	411	3365
109	414	3355
110	417	3346
111	422	3347
112	425	3340
113	428	3330
114	431	3322
115	434	3313
116	439	3313
117	442	3308
118	446	3302
119	449	3293
120	452	3287
121	455	3281
122	458	3272
123	461	3262
124	464	3254
125	468	3246
126	472	3245
127	475	3238
128	478	3229
129	481	3222
130	485	3220
131	488	3214
132	491	3205
133	494	3197
134	498	3193
135	502	3191
136	505	3185
137	508	3178
138	512	3171
139	515	3163
140	519	3164
141	522	3156
142	525	3149
143	528	3143
144	531	3136
145	536	3136
146	539	3129
147	542	3121
148	545	3116
149	548	3109
150	553	3111
151	557	3111
152	561	3108
153	564	3101
154	569	3107
155	573	3101
156	576	3094
157	579	3087
158	583	3084
159	586	3078
160	589	3071
161	592	3065
162	595	3058
163	600	3062
164	605	3062
165	608	3057
166	611	3050
167	615	3047
168	619	3045
169	622	3038
170	625	3031
171	628	3026
172	633	3026
173	636	3019
174	638	3012
175	642	3005
176	645	3000
177	650	3002
178	654	3000
179	658	2999
180	661	2993
181	666	2996
182	669	2989
183	672	2983
184	675	2976
185	679	2972
186	682	2968
187	685	2962
188	688	2955
189	691	2949
190	695	2946
191	700	2946
192	703	2940
193	706	2934
194	709	2929
195	714	2929
196	717	2924
197	720	2918
198	723	2912
199	726	2906
200	730	2904
201	733	2897
202	736	2892
203	740	2888
204	744	2888
205	750	2894
206	754	2889
207	757	2883
208	761	2882
209	766	2882
210	770	2881
211	773	2875
212	777	2872
213	780	2867
214	783	2861
215	786	2855
216	789	2849
217	794	2848
218	797	2842
219	800	2836
220	803	2831
221	806	2827
222	811	2826
223	815	2823
224	818	2817
225	821	2813
226	825	2810
227	828	2805
228	831	2800
229	834	2794
230	838	2790
231	842	2787
232	845	2782
233	848	2776
234	851	2771
235	854	2765
236	858	2764
237	861	2759
238	865	2754
239	868	2750
240	871	2744
241	875	2743
242	879	2739
243	883	2736
244	886	2732
245	889	2727
246	894	2728
247	898	2725
248	901	2720
249	905	2716
250	909	2714
251	912	2709
252	915	2704
253	919	2699
254	923	2697
255	927	2695
256	930	2690
257	933	2684
258	937	2680
259	942	2681
260	945	2676
261	948	2672
262	951	2667
263	956	2667
264	960	2663
265	963	2658
266	966	2653
267	970	2649
268	973	2646
269	977	2643
270	981	2639
271	984	2634
272	989	2635
273	993	2632
274	996	2627
275	999	2621
276	1003	2620
277	1007	2616
278	1010	2611
279	1013	2606
280	1016	2602
281	1021	2602
282	1025	2598
283	1028	2593
284	1031	2588
285	1035	2585
286	1039	2583
287	1043	2578
288	1046	2573
289	1049	2569
290	1054	2569
291	1057	2564
292	1060	2559
293	1064	2555
294	1067	2551
295	1071	2548
296	1075	2545
297	1078	2540
298	1081	2536
299	1087	2536
300	1090	2533
301	1094	2528
302	1096	2523
303	1102	2523
304	1106	2520
305	1109	2516
306	1112	2512
307	1117	2511
308	1122	2509
309	1125	2505
310	1128	2500
311	1134	2501
312	1138	2499
313	1141	2494
314	1145	2489
315	1149	2488
316	1153	2485
317	1156	2480
318	1159	2475
319	1163	2471
320	1167	2469
321	1171	2466
322	1174	2462
323	1177	2457
324	1182	2454
325	1185	2450
326	1188	2445
327	1191	2440
328	1194	2436
329	1200	2437
330	1203	2432
331	1206	2428
332	1209	2422
333	1213	2420
334	1216	2415
335	1219	2410
336	1222	2405
337	1226	2401
338	1230	2398
339	1233	2393
340	1236	2389
341	1239	2384
342	1242	2380
343	1247	2378
344	1250	2373
345	1253	2369
346	1256	2364
347	1259	2360
348	1263	2357
349	1266	2352
350	1269	2347
351	1273	2344
352	1276	2340
353	1282	2339
354	1285	2336
355	1289	2333
356	1293	2329
357	1297	2326
358	1300	2321
359	1303	2317
360	1306	2313
361	1310	2309
362	1313	2305
363	1316	2300
364	1319	2296
365	1322	2291
366	1327	2289
367	1332	2287
368	1335	2283
369	1338	2278
370	1342	2275
371	1346	2273
372	1350	2270
373	1353	2266
374	1357	2261
375	1361	2258
376	1364	2255
377	1367	2250
378	1370	2246
379	1374	2242
380	1379	2240
381	1383	2238
382	1387	2234
383	1390	2231
384	1395	2228
385	1398	2224
386	1401	2220
387	1404	2215
388	1408	2212
389	1411	2208
390	1414	2203
391	1417	2199
392	1421	2194
393	1426	2193
394	1430	2190
395	1433	2186
396	1436	2181
397	1442	2181
398	1448	2181
399	1454	2182
400	1460	2182
401	1465	2180
402	1470	2178
403	1474	2174
404	1477	2171
405	1481	2166
406	1486	2165
407	1489	2161
408	1492	2156
409	1495	2152
410	1499	2148
411	1502	2144
412	1505	2140
413	1508	2135
414	1511	2131
415	1515	2128
416	1519	2123
417	1522	2119
418	1525	2114
419	1528	2111
420	1533	2108
421	1536	2104
422	1539	2100
423	1543	2096
424	1546	2092
425	1550	2089
426	1553	2084
427	1556	2080
428	1560	2076
429	1565	2074
430	1569	2071
431	1572	2068
432	1576	2064
433	1580	2060
434	1584	2058
435	1588	2054
436	1591	2050
437	1594	2046
438	1600	2044
439	1603	2040
440	1606	2036
441	1609	2031
442	1613	2029
443	1618	2026
444	1621	2022
445	1624	2017
446	1629	2015
447	1633	2012
448	1636	2007
449	1639	2003
450	1642	1999
451	1646	1996
452	1649	1992
453	1653	1988
454	1656	1983
455	1659	1979
456	1663	1976
457	1667	1973
458	1670	1969
459	1674	1965
460	1678	1962
461	1682	1959
462	1685	1955
463	1688	1951
464	1692	1947
465	1697	1945
466	1700	1940
467	1703	1936
468	1706	1932
469	1713	1931
470	1716	1928
471	1720	1924
472	1723	1920
473	1728	1917
474	1732	1914
475	1735	1910
476	1739	1906
477	1744	1904
478	1747	1900
479	1750	1896
480	1753	1892
481	1756	1888
482	1762	1886
483	1765	1882
484	1768	1878
485	1771	1873
486	1776	1871
487	1780	1867
488	1784	1864
489	1787	1860
490	1792	1857
491	1795	1853
492	1798	1849
493	1802	1845
494	1805	1842
495	1809	1838
496	1812	1834
497	1815	1830
498	1818	1826
499	1822	1822
500	1827	1820
501	1831	1816
502	1834	1812
503	1838	1808
504	1842	1806
505	1845	1802
506	1848	1797
507	1851	1793
508	1855	1790
509	1858	1785
510	1861	1781
511	1864	1777
512	1868	1773
513	1872	1770
514	1876	1767
515	1881	1764
516	1884	1760
517	1889	1758
518	1892	1753
519	1895	1749
520	1898	1745
521	1901	1741
522	1905	1738
523	1908	1733
524	1911	1729
525	1914	1725
526	1917	1721
527	1922	1718
528	1925	1714
529	1928	1710
530	1931	1706
531	1935	1702
532	1939	1699
533	1942	1695
534	1945	1691
535	1948	1686
536	1953	1683
537	1955	1679
538	1959	1675
539	1962	1671
540	1965	1667
541	1969	1664
542	1973	1661
543	1977	1657
544	1980	1653
545	1983	1649
546	1988	1647
547	1992	1643
548	1996	1640
549	2000	1636
550	2003	1632
551	2006	1628
552	2009	1624
553	2012	1620
554	2016	1617
555	2021	1614
556	2025	1611
557	2028	1607
558	2032	1603
559	2037	1600
560	2040	1596
561	2043	1592
562	2047	1589
563	2052	1586
564	2055	1582
565	2058	1578
566	2062	1574
567	2068	1573
568	2073	1570
569	2076	1566
570	2079	1562
571	2084	1559
572	2087	1555
573	2091	1551
574	2094	1547
575	2097	1544
576	2101	1540
577	2105	1537
578	2108	1533
579	2111	1529
580	2117	1527
581	2121	1523
582	2124	1519
583	2127	1515
584	2134	1513
585	2137	1510
586	2140	1505
587	2143	1502
588	2149	1499
589	2153	1496
590	2156	1492
591	2159	1488
592	2164	1485
593	2168	1482
594	2171	1478
595	2174	1474
596	2178	1470
597	2182	1467
598	2186	1463
599	2189	1459
600	2192	1455
601	2196	1452
602	2200	1448
603	2204	1445
604	2207	1441
605	2210	1437
606	2214	1433
607	2217	1429
608	2220	1425
609	2223	1421
610	2227	1418
611	2230	1414
612	2233	1410
613	2237	1406
614	2240	1402
615	2244	1399
616	2247	1395
617	2250	1391
618	2253	1387
619	2256	1383
620	2261	1380
621	2264	1376
622	2267	1372
623	2270	1368
624	2275	1365
625	2279	1361
626	2282	1357
627	2285	1353
628	2289	1350
629	2293	1346
630	2296	1342
631	2299	1338
632	2302	1334
633	2305	1331
634	2310	1328
635	2315	1325
636	2319	1321
637	2322	1317
638	2328	1315
639	2331	1311
640	2334	1307
641	2337	1303
642	2342	1300
643	2345	1296
644	2348	1292
645	2351	1288
646	2354	1284
647	2360	1282
648	2364	1278
649	2367	1274
650	2370	1270
651	2375	1267
652	2378	1264
653	2381	1260
654	2384	1256
655	2388	1252
656	2391	1248
657	2394	1244
658	2398	1240
659	2401	1236
660	2404	1233
661	2410	1230
662	2414	1227
663	2418	1223
664	2423	1220
665	2427	1217
666	2430	1213
667	2433	1209
668	2436	1205
669	2440	1201
670	2443	1197
671	2446	1193
672	2449	1190
673	2453	1186
674	2458	1183
675	2462	1180
676	2465	1176
677	2469	1172
678	2473	1169
679	2477	1165
680	2480	1161
681	2483	1157
682	2487	1154
683	2490	1150
684	2493	1146
685	2496	1142
686	2499	1139
687	2505	1136
688	2509	1132
689	2513	1129
690	2516	1125
691	2521	1122
692	2525	1118
693	2529	1115
694	2532	1111
695	2536	1107
696	2539	1104
697	2542	1100
698	2545	1096
699	2549	1092
700	2554	1089
701	2558	1086
702	2561	1082
703	2565	1078
704	2570	1075
705	2574	1072
706	2577	1068
707	2581	1064
708	2585	1061
709	2588	1057
710	2591	1053
711	2594	1049
712	2597	1045
713	2601	1042
714	2606	1038
715	2609	1034
716	2612	1031
717	2616	1027
718	2619	1023
719	2622	1019
720	2626	1016
721	2630	1012
722	2634	1009
723	2638	1005
724	2643	1002
725	2649	999
726	2653	996
727	2656	992
728	2659	988
729	2664	985
730	2669	982
731	2674	979
732	2680	976
733	2687	973
734	2693	970
735	2701	968
736	2705	965
737	2713	963
738	2720	960
739	2723	956
740	2727	953
741	2734	950
742	2740	947
743	2745	944
744	2752	941
745	2756	938
746	2765	936
747	2770	933
748	2773	929
749	2780	926
750	2786	923
751	2789	919
752	2796	917
753	2800	913
754	2804	910
755	2811	907
756	2817	904
757	2820	900
758	2828	898
759	2831	894
760	2835	890
761	2838	886
762	2844	883
763	2848	879
764	2851	876
765	2854	872
766	2861	869
767	2865	865
768	2868	861
769	2873	858
770	2878	855
771	2882	851
772	2886	847
773	2891	844
774	2894	840
