Rank,Score,Acedemik Reputation,Students,Citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_faculty_ratio,sustainability_score,international_research_network,Score_class,Total_Reputation,Global_Connectivity
1,100.0,100.0,91.6,100.0,100.0,100.0,100.0,100.0,93.8,94.1,best,100.0,97.05
2,99.4,99.6,100.0,95.0,99.3,100.0,95.9,100.0,98.3,97.5,best,99.8,98.75
3,98.9,100.0,73.5,99.7,100.0,100.0,100.0,94.2,95.4,96.5,best,100.0,95.35
4,97.9,100.0,98.6,91.0,100.0,100.0,100.0,98.8,77.9,100.0,best,100.0,99.4
5,97.7,100.0,81.4,100.0,98.3,100.0,100.0,79.1,77.8,99.4,best,100.0,89.25
6,97.2,100.0,93.1,88.6,100.0,100.0,100.0,100.0,78.4,99.2,best,100.0,99.6
7,96.7,99.7,99.3,98.8,71.7,96.3,95.0,100.0,99.6,95.8,best,98.0,97.9
8,95.9,99.9,96.9,95.9,71.5,98.2,100.0,100.0,90.0,92.4,best,99.05000000000001,96.2
9,95.8,99.9,100.0,80.9,94.8,99.4,89.3,99.6,98.5,99.9,best,99.65,99.75
10,94.3,98.3,90.7,100.0,100.0,99.2,49.1,100.0,79.2,61.8,best,98.75,80.9
11,94.2,99.3,100.0,96.6,85.3,82.5,99.8,100.0,84.8,82.3,best,90.9,91.15
12,93.7,97.1,93.1,94.6,83.9,91.4,87.7,100.0,87.2,86.9,best,94.25,93.45
13,93.0,99.8,92.8,78.1,97.3,99.3,99.8,86.1,73.3,87.7,best,99.55,86.9
14,92.6,99.9,37.3,99.2,96.2,99.6,97.0,59.9,70.6,83.2,best,99.75,71.55
15,92.5,98.9,76.3,72.0,99.9,98.7,100.0,96.9,95.0,89.4,best,98.80000000000001,93.15
16,91.6,99.5,75.7,98.0,64.3,98.8,99.3,57.6,76.8,93.0,best,99.15,75.3
=17,91.2,99.9,31.9,99.6,97.1,99.7,97.0,39.5,68.7,80.4,best,99.80000000000001,59.95
=17,91.2,100.0,70.6,97.2,29.4,100.0,99.8,95.6,98.8,96.7,best,100.0,96.15
19,90.8,99.7,100.0,94.8,20.5,97.4,98.3,96.7,98.2,96.9,best,98.55000000000001,96.80000000000001
20,90.7,96.3,99.9,96.9,29.9,93.5,98.7,100.0,97.0,97.6,best,94.9,98.8
21,90.4,100.0,72.7,64.8,100.0,100.0,99.8,86.7,82.4,92.9,best,100.0,89.80000000000001
