Rank,Score,Name,Acedemik Reputation,Students,Citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_faculty_ratio,sustainability_score,international_research_network
1,100,Massachusetts Institute of Technology (MIT),100,91.6,100,100,100,100,100,93.8,94.1
2,99.4,Imperial College London,99.6,100,95,99.3,100,95.9,100,98.3,97.5
3,98.9,Stanford University,100,73.5,99.7,100,100,100,94.2,95.4,96.5
4,97.9,University of Oxford,100,98.6,91,100,100,100,98.8,77.9,100
5,97.7,Harvard University,100,81.4,100,98.3,100,100,79.1,77.8,99.4
6,97.2,University of Cambridge,100,93.1,88.6,100,100,100,100,78.4,99.2
7,96.7,ETH Zurich,99.7,99.3,98.8,71.7,96.3,95,100,99.6,95.8
8,95.9,National University of Singapore (NUS),99.9,96.9,95.9,71.5,98.2,100,100,90,92.4
9,95.8,UCL,99.9,100,80.9,94.8,99.4,89.3,99.6,98.5,99.9
10,94.3,California Institute of Technology (Caltech),98.3,90.7,100,100,99.2,49.1,100,79.2,61.8
11,94.2,The University of Hong Kong,99.3,100,96.6,85.3,82.5,99.8,100,84.8,82.3
12,93.7,"Nanyang Technological University, Singapore (NTU Singapore)",97.1,93.1,94.6,83.9,91.4,87.7,100,87.2,86.9
13,93,University of Chicago,99.8,92.8,78.1,97.3,99.3,99.8,86.1,73.3,87.7
14,92.6,Peking University,99.9,37.3,99.2,96.2,99.6,97,59.9,70.6,83.2
15,92.5,University of Pennsylvania,98.9,76.3,72,99.9,98.7,100,96.9,95,89.4
16,91.6,Cornell University,99.5,75.7,98,64.3,98.8,99.3,57.6,76.8,93
=17,91.2,Tsinghua University,99.9,31.9,99.6,97.1,99.7,97,39.5,68.7,80.4
=17,91.2,"University of California, Berkeley (UCB)",100,70.6,97.2,29.4,100,99.8,95.6,98.8,96.7
19,90.8,The University of Melbourne,99.7,100,94.8,20.5,97.4,98.3,96.7,98.2,96.9
20,90.7,The University of New South Wales (UNSW Sydney),96.3,99.9,96.9,29.9,93.5,98.7,100,97,97.6
21,90.4,Yale University,100,72.7,64.8,100,100,99.8,86.7,82.4,92.9
=22,90.2,EPFL – École polytechnique fédérale de Lausanne,92.7,100,93.1,90,88,47.3,100,85.3,83.6
=22,90.2,Technical University of Munich,92,98.9,92.6,70.5,99.7,57.3,86.3,87.8,95.9
24,89.7,Johns Hopkins University,93.2,94.2,85.8,100,79.2,84.1,70.8,93,97.4
=25,89.4,Princeton University,100,70,100,67.3,99.8,98.9,12.7,76,82.6
=25,89.4,The University of Sydney,98.9,100,94.3,15.7,94.2,95.8,99.9,97.6,95.5
27,88.9,McGill University,98.1,93.5,72.4,67.3,93.5,98.9,88.6,96.3,92.9
28,88.6,Université PSL,82.6,75.5,85.1,98.6,98.5,97.5,69.6,87.8,99.7
29,88.5,University of Toronto,100,97.9,68.8,45.7,99.1,99.4,97.9,100,97
30,88.4,Fudan University,93.7,46.4,92.8,84.8,95.1,73.3,88.5,83.1,75.5
31,88.3,King's College London,96.2,99,70.2,74.4,91.8,76.4,99.5,96.5,98.4
=32,87.4,Australian National University (ANU),97.9,99,91.7,40.9,82.6,67.1,100,91.8,93.1
=32,87.4,The Chinese University of Hong Kong (CUHK),94.2,93.3,95,75.9,67.3,91.2,100,84.1,68.2
34,87.2,The University of Edinburgh,99.6,99.9,54.3,77.3,98.2,69.7,99.7,98.3,99.5
35,86.4,The University of Manchester,98.6,99.5,56.8,58.2,98.8,91.9,95.3,98.2,99.4
=36,85.8,Monash University,95.7,100,93,11.3,87.5,86.7,100,91.7,94.7
=36,85.8,The University of Tokyo,100,44,69.9,92.4,99.9,100,15.9,92.3,88.8
=38,85.6,Columbia University,99.9,98.1,44.5,100,99.9,100,48.5,77.9,98.4
=38,85.6,Seoul National University,99.7,27.5,81.2,85.6,99.1,100,13.2,90.8,77.6
40,85.5,University of British Columbia,99.6,79.8,70.9,34.7,96.5,84.9,98.5,98.5,96.6
41,85.4,Institut Polytechnique de Paris,58.1,99.2,97.3,94.8,99.8,99.1,99.9,77.9,93
=42,85.1,Northwestern University,92.2,67.2,71.2,99.1,89.4,99.5,57.7,74.4,86.5
=42,85.1,The University of Queensland,94.3,100,94.2,26.5,79.5,66.6,100,92.5,97
44,84.8,The Hong Kong University of Science and Technology,89.4,99.3,100,67.5,69.7,76.6,100,79.7,49.5
45,84.7,University of Michigan-Ann Arbor,99.3,56.1,54.5,85.7,98.5,99.1,73.9,77.2,96
46,84.4,"University of California, Los Angeles (UCLA)",100,31.8,84.3,43.6,100,98,50.8,78,93.5
=47,84.3,Delft University of Technology,86.2,94.8,84.6,49.1,90.4,66,100,96.3,93.8
=47,84.3,Shanghai Jiao Tong University,92.7,19.1,100,64.5,93.8,88.2,40.9,82.5,77.7
49,84,Zhejiang University,87,23.5,100,53,97.2,74.4,94.1,63,94
50,82.9,Yonsei University,91.6,74.3,67.9,84.3,97.8,94.4,30.5,87.7,78
51,82.5,University of Bristol,87.3,95.7,83.2,36.7,89.4,63.1,90.7,97,95.3
52,82.3,Carnegie Mellon University,80.1,98.7,98.6,51.1,94.4,79.9,52.4,66.2,79.2
53,81.5,University of Amsterdam,92.5,95.8,87.2,27.5,72.6,90.3,98.8,64,95.1
54,81.2,The Hong Kong Polytechnic University,81.2,98.8,98.7,77.1,47.5,74.1,100,80.8,82.8
55,81.1,New York University (NYU),98.6,99.7,31.7,89,99.9,99.5,33.1,91.3,93.5
56,80.5,The London School of Economics and Political Science (LSE),80.6,100,64,47.2,99.4,99.9,100,92.7,76.4
57,80.2,Kyoto University,99.7,29.2,50.9,94.3,99.3,85.9,22.9,84,85.5
=58,80.1,Ludwig-Maximilians-Universität München,97.1,53.2,62.3,41,95.5,76.8,80.3,87,95.5
=58,80.1,Universiti Malaya (UM),92.3,86.8,47.4,74.2,96.7,77.7,69.2,84.7,92.9
60,79.7,KU Leuven,93,65.1,94.7,9.6,63.5,83.5,95.8,94.7,99.5
61,79.6,Korea University,89.2,64,68.2,77,95.4,93.6,24.5,85.9,67.7
62,79,Duke University,92.9,62,47.1,100,91,95.6,28.3,77.6,90.8
=63,78.9,City University of Hong Kong (CityUHK),75.5,100,100,94.8,46.7,48.5,100,75.2,64.5
=63,78.9,National Taiwan University (NTU),97.7,59.2,70.9,38.8,94.2,100,25.3,88.4,67.1
65,77.5,The University of Auckland,91.7,95.5,79.1,17.6,55.2,96.9,100,95.7,88.8
66,76.9,"University of California, San Diego (UCSD)",94,47,80.3,54.4,80.2,40.8,43.8,72.3,94
67,76.5,KFUPM,53.5,76.2,93.2,92.4,75.6,97.8,100,62.7,81
68,76.4,University of Texas at Austin,97.6,19.1,85.4,10.7,96.8,93.9,9.1,70.6,90.5
69,76.2,Brown University,72.4,67,82.2,84.5,64.3,81.9,91,72.6,80.1
=70,75.9,University of Illinois Urbana-Champaign,91.7,70.1,81.6,8.6,91.5,92.5,14.2,75.9,91.3
=70,75.9,Université Paris-Saclay,75.3,72.7,42.4,99.9,99.4,82.9,45.9,92.7,98.5
=72,75.7,Lund University,80.1,82,56.6,68.1,64.1,96.1,98.8,98.8,97.1
=72,75.7,Sorbonne University,93.2,66.8,68.8,56.4,62.1,84.2,35.5,89.2,99.4
74,75.2,The University of Warwick,82.7,99.2,43.6,48.3,93,75.3,99.5,84.6,93.8
75,73.9,"Trinity College Dublin, The University of Dublin",82.5,94.9,66,28.7,68.1,95.3,100,73.8,89.4
76,73.8,University of Birmingham,81.1,93.4,56.1,49.9,75.7,54.7,96.7,92.8,96.3
77,73.7,The University of Western Australia,69,100,99.2,15.1,56.5,82.6,100,83.7,93.2
78,73.6,KTH Royal Institute of Technology,60.2,81.8,88.2,68.3,62.1,72.7,95.6,89.8,91.7
79,73.4,University of Glasgow,88.3,99.1,44.8,50.3,73.5,44.5,98,95.4,97
80,73,Universität Heidelberg,87.1,71.4,41.4,99.8,72.2,34.6,66.2,85.5,94.7
81,72.7,University of Washington,90.1,45.8,69.2,49.2,74.8,79.9,14.7,74.9,95
=82,72.6,Adelaide University,78.3,97.5,69.8,30.5,62.7,70.4,100,86.1,96.7
=82,72.6,Pennsylvania State University,86.1,38.2,67.2,29.1,85.8,79.2,37.4,95.4,97.4
84,72.3,Universidad de Buenos Aires (UBA),98.1,78.5,2.3,82,95.8,99.9,72.3,66.1,75.8
85,72.1,Tokyo Institute of Technology (Tokyo Tech),85,43.4,54.2,87.6,95.7,33.5,29.8,74.2,67.8
86,72,University of Leeds,81.8,96.3,48.8,39.7,82.1,62.9,89.7,76.4,99.2
87,71.2,University of Southampton,62.6,98.6,87.8,40.1,55.9,58.6,96.8,95.1,97.4
=88,71.1,Boston University,75.3,92.8,61.9,40.6,86.7,86.9,40,73.7,84.9
=88,71.1,Freie Universitaet Berlin,88.3,56,84.3,8.3,66.4,46.9,73.8,65.4,94.4
=88,71.1,Purdue University,74.3,55.3,62.4,16.4,92.7,81,96.4,88.4,91
91,71,Osaka University,90.5,21.1,65.8,45.6,90,51.4,25.2,79.5,72
92,70.9,The University of Sheffield,73,98,68.4,50.3,61.7,47.9,81.6,94.3,96.8
93,70.3,Uppsala University,74.7,82.9,55.9,66.3,48.1,82.9,99.7,94.4,95.9
=94,70.1,Durham University,74.1,94.5,42.9,37.3,91.9,53.6,99.2,95.2,90.9
=94,70.1,University of Alberta,70.9,78.6,71.5,44.6,53,77.1,99.4,90.7,94.5
96,69.9,University of Technology Sydney,58.7,91.7,99.3,11.8,66.7,52.3,97.6,92,89.7
97,69.4,University of Nottingham,75.4,78.5,48.6,44.5,78.4,53.7,92.7,92.9,97.4
=98,69.1,"KIT, Karlsruhe Institute of Technology",57.1,56.9,77.1,48.9,87.4,61.5,83.8,79.5,86.9
=98,69.1,Politecnico di Milano,83.4,69.3,53.9,9.3,90.1,72,74.4,72.9,87
100,68.5,University of Zurich,71,57.8,52.3,95.2,43.5,90.8,100,69.8,93.5
101,68.4,University of Copenhagen,85.5,26.5,36.6,99.6,41.7,94.4,87.3,76.3,98
102,67.9,Pohang University of Science And Technology (POSTECH),61.3,4.2,98.3,99.9,83.3,16,31.6,64.3,29.6
=103,67.7,Nanjing University,72.1,15.9,99,37.2,61.2,39.7,82.9,59.5,69.5
=103,67.7,Utrecht University,79.3,30.5,77.9,39.5,49.2,73.2,63.4,75.1,97.8
=105,67.6,Lomonosov Moscow State University,83.7,96,7.3,99.9,87.9,98.3,25.5,48.8,87
=105,67.6,RWTH Aachen University,57.7,93,79.7,10.7,95.7,55.9,59.6,82.9,86
107,67.5,Technical University of Denmark,44.8,95.9,90.9,98.4,36.2,60.5,100,68,87.1
108,67.3,Universidade de São Paulo,97.3,3.5,40.3,30.5,81,98.8,9.2,89,95.3
109,66.7,Tohoku University,84.5,19.4,35.5,98.2,86.5,36.5,20.5,82,70.1
=110,66.6,Queen Mary University of London,63.6,99.9,83.4,31,47.1,40.1,99.9,82.4,91.9
=110,66.6,University of Wisconsin-Madison,85.7,37,28.1,84.3,63.1,91,57.7,72.5,88.9
112,66.5,Qatar University,43.3,98.6,73.3,73.8,56.5,98.9,100,72.2,89.6
113,66.4,University of St Andrews,61.5,99.7,51.3,63.8,74.9,28.9,98.8,86.2,87.7
=114,66.3,Aalto University,57.5,60,79.6,35.1,56.1,97.1,97.2,88.3,80.9
=114,66.3,"University of California, Davis",72.7,61.9,66.5,28.3,70.1,38,86.5,79.8,90.8
=116,66.1,Pontificia Universidad Católica de Chile (UC),98,7.8,14.2,35.1,98.6,99.9,42,80,81.2
=116,66.1,University of Helsinki,74.5,13.1,62.7,66.9,37.7,94.2,78.5,95.6,96.1
118,66,University College Dublin,66.5,89.6,62,19.7,57.6,92.2,99.5,91.7,89
=119,65.7,Leiden University,80.4,68.4,64.9,30.3,46.3,61.2,89.7,58.6,94.3
=119,65.7,Rice University,50.6,96.6,81.6,74.9,51,45.7,91.3,81.5,66.3
=119,65.7,University of Oslo,67.8,46,67.7,78.4,27.7,86.6,95.8,72.3,96.8
=119,65.7,University of Waterloo,53,76.6,88.3,8.8,74.2,72,81.5,90.5,83.5
=123,65.5,Georgia Institute of Technology,76,60.4,54.2,32.4,92.8,67.5,21.5,66.1,79
=123,65.5,Indian Institute of Technology Delhi (IITD),67.9,1.9,93.1,21.9,95,50.5,3.2,79.9,66.9
125,65.3,RMIT University,55.1,95.2,91.3,7.2,60.3,49.9,100,87.9,83.1
